"firstname","lastname","username","email","password","role","fields","description","asso_node","messages","events","asso_users","pending_users"
"Kim","Kim","Kim:())()()()(-)","bob23@bob234.bob3","{""_handle"":{},""writable"":true,""readable"":true}",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
"Kim","Kim","Kim:())()()()(-)&&&&","bob23@bob234.bob3","]f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11a",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
"Kim","Kim","Kim_killme","bob23@bob234.bob3","f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
"Kim","Kim","User_Test1114","bob23@bob234.bob3","a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
"4",";","n","n@n.n","1b16b1df538ba12dc3f97edbb85caa7050d46c148134290feba80f8236c83db9",True,"{""Computer Science""}","I like ns",NULL,NULL,NULL,NULL,NULL
"asdfasdf","sdf","dsaf","sadfd@gmail","03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4",False,"{""Computer Science"",Biology}","asdf",NULL,NULL,NULL,NULL,NULL
"Tk","Kim","ADsf","bubba1231412341231@bubba.com","f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae",False,"{Biology,Physics}","Hi",NULL,NULL,NULL,NULL,NULL
"Taekyung ","Kim","1234SPACE","Kim23@gmail.vom","03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4",False,"{""Algebra II""}","I like space",NULL,NULL,NULL,NULL,NULL
"Taeky","ws","adfaq","adsf$2s@ds.co","0",True,"{""Computer Science"",Biology}","Hi

","{""name"":""node"",""value"":""CodingClub""}",NULL,NULL,NULL,NULL
"Taeky","ws","adfaqd","adsf$2s@ds.co","0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c",True,"{""Computer Science"",Biology}","Hi

","{""name"":""node"",""value"":""CodingClub""}",NULL,NULL,NULL,NULL
"soo","kim","234@3","hi#gml@c.com","$2a$10$K1gpDmX/0o/SulWfuTICGeCyFLH4P5YBtb6Xs2Z0OL6yygx2PuFgW",False,"{1234}","e","{""name"":""node"",""value"":""i=Hidmms""}",NULL,NULL,NULL,NULL
"BAD","JENT","badnet","badnet@net.code.code","$2a$10$spIFBlGQ3LVFUVx2CVq6y.N5ULOxIRZ2ZuOvsFYJAkd229tvFxUMm",True,"{Biology,Physics,Chemistry}","I am mentors","CodingClub",NULL,NULL,"{sbad,bads,bads,bads,bads,bads,bads,bads,bads,bads}","{}"
"bad","man","plzwork","plzworkplz@plz.work","$2a$10$0wL7alZRbRDGJPncIWbmm.hjvvZYAIZcFuXKs3YzI76HMioInsGbG",True,"{""Computer Science"",Biology}","plz work","CodingClub","{{plzworkplzwork,""helloheloadsjfldjfklajdlkfjsdljflkasdj kfljasdlkfjl"",2019-12-1,17:16:20,sbad},{workedworked,""rhajfkldsjflkajsdfjlksdjflka jsdf jasldjfklajdskl fasdjflkasjd lkfsdlkf j
fbest ,
afdsjfasjdf"",2019-12-1,17:16:50,sbad},{""Hi man"",ADSfasdjflkajdslfkasdf,2019-12-1,22:11:3,sbad},{""HIHIHIHIHIHH LOL"",""UN HEALTHY MESSAGE"",2019-12-6,11:43:48,sbad},{Hi,""Hello
hep"",2019-12-7,19:39:52,sbad}}",NULL,"{sbad}","{}"
"Bob","Bob","bad","bad@d.com","$2a$10$wqZbWDvwHwIkm5ugDFyv5uiIpDL3RzpjZPKjkKQ1/Y.Ciyzpuw7Rq",True,"{Chemistry}","q","CodingClub","{{""Hello My name is..."",""Hi my name is tk"",2019-12-1,20:49:58,sbad}}",NULL,"{sbad}","{}"
"Good","Man","goodmandy","goodmandy@fmai.cp","$2a$10$YOmmVKcFSPhL2j05kUixpOCilIUY1NufinkfNwZjLTap0Ty03QZvy",True,"{""Computer Science""}","df","CodingClub","{{NULL,""Hello My name is..."",2019-12-1,17:12:2,sbad},{harro,""harro,man"",2019-12-1,17:14:57,sbad},{""Hi man"",ADSfasdjflkajdslfkasdf,2019-12-1,22:11:32,sbad}}","{{hi,2019-12-31,12:59}}","{sbad}","{sbad}"
"BAD","JENT","sbad","badnet@net.code.code","$2a$10$BuoXFb9OP.QDzCIrY0F/eucZe4/cAcrmdGcB4MVngU597ytrKitFi",False,"{""Computer Science"",Biology}","I am mentee","CodingClub","{{hi,""I am your mentor"",2019-12-9,20:32:10,goodmandy},{sda,asdasdsdad,2019-12-10,0:14:58,plzwork},{sda,asdasdsdad,2019-12-10,0:16:0,plzwork},{sda,asdasdsdad,2019-12-10,0:16:0,plzwork},{sda,asdasdsdad,2019-12-10,0:16:1,plzwork}}","{{""2nd School Meeting"",2019-12-31,12:09},{""3nd School Meeting"",2019-12-31,12:40},{""Identity Investigation"",2019-12-31,12:59},{""Identity Investigation"",2019-12-31,12:59},{ha,"""",""""},{""New Event"",2019-11-01,12:59},{""Identity Investigation2"",2019-12-31,12:59},{2,2019-12-31,12:59},{2,2019-12-31,12:59},{""Identity Investigation"",2019-12-31,12:59},{""Identity Investigation3"",2019-11-01,12:59},{""Identity Investigation4"",2019-11-01,12:59},{""Identity Investigation4"",2019-11-01,12:59},{""Identity Investigation4"",2019-11-01,12:59},{""Identity Investigation4"",2019-11-01,12:59},{""Identity Investigation5"",2019-11-01,12:59},{""Identity Investigation5"",2019-11-01,12:59},{""Identity Investigation5"",2019-11-01,12:59},{""Identity Investigation5"",2019-11-01,12:59},{""Identity Investigation7"",2019-11-01,12:59},{""Identity Investigation"",2019-12-31,12:59},{2,2019-12-31,12:59},{d,2019-12-31,12:59},{""Identity Investigation"",2019-12-31,12:59},{""Identity Investigation"",2018-12-31,12:59},{""Identity Investigation"",2018-12-31,12:59},{""Identity Investigation5"",2019-12-31,12:59},{dfs,"""",""""},{"""","""",""""},{""Identity Investigation"",2019-12-31,12:59},{"""","""",""""},{hi,"""",""""},{"""","""",""""},{""Identity Investigation"",2019-12-31,00:59},{""Identity Investigationd"",2019-12-31,00:59},{fdadsfasdfjadsfjladsjfljalksdjfajsdkf,2019-12-31,12:59},{""Identity Investigationadsfasdfasdf"",2019-12-31,12:59},{""Identity Investigation"",2019-12-31,12:59},{""Identity Investigation"",2019-12-31,12:59},{""Identity Investigation"",2019-12-31,12:59},{""Identity Investigation"",2019-12-31,12:59},{""Identity Investigation"",2019-12-31,12:59},{sadfasdf,2019-12-31,12:59},{""Identity Investigationsdafdasfasdfadsfdsaf"",2019-11-01,12:59},{asdfdasf,2019-12-31,00:59},{didyounow,2019-12-31,00:59},{asdfasdfasdfasdfasdfasdf,2132-02-01,00:32},{Hello,275760-03-31,15:24},{2,2019-12-31,12:59},{Swimming,2019-12-07,""""},{dsafasdfdsafasdfasdfdsfasdfdsfadsfdasfdasf,2018-01-31,12:59},{Coding,2019-12-31,12:59}}","{bad,badnet,goodmandy,plzwork,bsad}","{}"
"d","d","sbader","bubba1231412341231@bubba.com","$2a$10$dI.71SktR8gIWKJJ4Ifl8O/Uq01ZbqU1er0g1SHXE/bR5rwD1Wb16",True,"{""Computer Science"",Biology,Physics}","d","CodingClub",NULL,NULL,NULL,NULL
"Valid","Name","bsad","validName25@valid.com","$2a$10$0ETxlS4z89LOy2NbrUk65Ojof0e7E5IWcettacxMufcmMsn1AZW3K",True,"{}","I b sad","CodingClub",NULL,NULL,"{sbad}","{}"
"ba","2","bads","bob@bob124.com","$2a$10$p9.CLl9cS8TKpdJJKA4Cn.8HZPK9VON3L5RogfR17p1pvh2kbvjcy",False,"{Trigonometry,""Calculus AB"",Biology,Physics,Chemistry}","fdjflkdsjfklj`","CodingClub",NULL,NULL,"{badnet}","{}"
